dostawca_id,nazwa,nr_telefonu,email
1,ABC Spedycja,555-751-869,abc.spedycja@example.com
2,XZY Dostawy,555-719-560,xzy.dostawy@dostawy.com
3,Globalne Logistyki,555-909-926,globalne.logistyki@dostawy.com
4,Szybka Dostawa,555-148-197,szybka.dostawa@przesylki.pl
5,Express Towary,555-340-472,express.towary@logistyka.pl
6,Prime Logistyka,555-627-890,prime.logistyka@business.com
7,Peak Przesyłki,555-819-385,peak.przesyłki@przesylki.pl
8,Wyższa Jakość,555-261-164,wyższa.jakość@przesylki.pl
9,Rapida Transport,555-886-969,rapida.transport@logistyka.pl
10,Ultra Przesyłki,555-269-765,ultra.przesyłki@example.com
11,Optymalna Logistyka,555-695-206,optymalna.logistyka@logistyka.pl
12,Logistyczna Doskonałość,555-154-304,logistyczna.doskonałość@logistyka.pl
13,Dostawcy24,555-493-920,dostawcy24@dostawy.com
14,Eksport Spedycja,555-740-920,eksport.spedycja@przesylki.pl
15,Centrum Transportu,555-128-103,centrum.transportu@przesylki.pl
16,Kurierzy Polscy,555-284-227,kurierzy.polscy@dostawy.com
17,Transport Polska,555-328-307,transport.polska@logistyka.pl
18,Dostawy Ekspres,555-358-519,dostawy.ekspres@example.com
19,Ładunki24,555-717-474,ładunki24@przesylki.pl
20,Supplies Spedycja,555-475-512,supplies.spedycja@logistyka.pl
21,Global Freight,555-782-863,global.freight@dostawy.com
22,Speedy Cargo,555-866-757,speedy.cargo@dostawy.com
23,Secure Transport,555-242-815,secure.transport@przesylki.pl
24,Logistyk24,555-249-552,logistyk24@business.com
25,Trans Polska,555-723-920,trans.polska@dostawy.com
26,Ruch Towarowy,555-380-428,ruch.towarowy@przesylki.pl
27,Kierunek Logistyka,555-569-791,kierunek.logistyka@example.com
28,Transport Nowe,555-649-285,transport.nowe@przesylki.pl
29,ABC Spedycja,555-731-345,abc.spedycja@example.com
30,XZY Dostawy,555-959-654,xzy.dostawy@example.com
31,Globalne Logistyki,555-109-997,globalne.logistyki@dostawy.com
32,Szybka Dostawa,555-597-205,szybka.dostawa@business.com
33,Express Towary,555-725-942,express.towary@example.com
34,Prime Logistyka,555-152-122,prime.logistyka@business.com
35,Peak Przesyłki,555-503-781,peak.przesyłki@dostawy.com
36,Wyższa Jakość,555-970-706,wyższa.jakość@business.com
37,Rapida Transport,555-172-774,rapida.transport@example.com
38,Ultra Przesyłki,555-662-151,ultra.przesyłki@dostawy.com
39,Optymalna Logistyka,555-202-151,optymalna.logistyka@logistyka.pl
40,Logistyczna Doskonałość,555-272-249,logistyczna.doskonałość@logistyka.pl
41,Dostawcy24,555-471-206,dostawcy24@example.com
42,Eksport Spedycja,555-545-111,eksport.spedycja@logistyka.pl
